County,Month,Year,Application Status,Number of Applications
18 small counties,12,2014,Applications/restorations approved,321
18 small counties,12,2014,Total applications/restorations on hand,1232
18 small counties,2,2010,Applications denied,256
18 small counties,2,2010,Applications/requests for restoration received,650
18 small counties,2,2010,Applications/restorations approved,362
Butte,3,2015,Applications denied,126
18 small counties,2,2010,Total applications/restorations on hand,1421
18 small counties,2,2011,Applications denied,270
18 small counties,2,2011,Applications/requests for restoration received,641
18 small counties,2,2011,Applications/restorations approved,312
18 small counties,2,2011,Total applications/restorations on hand,1418
18 small counties,2,2012,Applications denied,376
18 small counties,2,2012,Applications/requests for restoration received,803
18 small counties,2,2012,Applications/restorations approved,325
18 small counties,2,2012,Total applications/restorations on hand,1312
18 small counties,2,2013,Applications denied,331
18 small counties,2,2013,Applications/requests for restoration received,671
18 small counties,2,2013,Applications/restorations approved,249
18 small counties,2,2013,Total applications/restorations on hand,1101
18 small counties,2,2014,Applications denied,341
18 small counties,2,2014,Applications/requests for restoration received,663
18 small counties,2,2014,Applications/restorations approved,282
18 small counties,2,2014,Total applications/restorations on hand,1082
18 small counties,2,2015,Applications denied,266
18 small counties,2,2015,Applications/requests for restoration received,525
18 small counties,2,2015,Applications/restorations approved,210
18 small counties,2,2015,Total applications/restorations on hand,934
18 small counties,3,2010,Applications denied,270
18 small counties,3,2010,Applications/requests for restoration received,852
18 small counties,3,2010,Applications/restorations approved,353
18 small counties,3,2010,Total applications/restorations on hand,1509
18 small counties,3,2011,Applications denied,294
18 small counties,3,2011,Applications/requests for restoration received,876
18 small counties,3,2011,Applications/restorations approved,359
18 small counties,3,2011,Total applications/restorations on hand,1565
18 small counties,3,2012,Applications denied,358
18 small counties,3,2012,Applications/requests for restoration received,895
18 small counties,3,2012,Applications/restorations approved,332
18 small counties,3,2012,Total applications/restorations on hand,1306
18 small counties,3,2013,Applications denied,353
18 small counties,3,2013,Applications/requests for restoration received,754
18 small counties,3,2013,Applications/restorations approved,303
18 small counties,3,2013,Total applications/restorations on hand,1127
18 small counties,3,2014,Applications denied,315
18 small counties,3,2014,Applications/requests for restoration received,778
18 small counties,3,2014,Applications/restorations approved,263
18 small counties,3,2014,Total applications/restorations on hand,1095
18 small counties,3,2015,Applications denied,246
18 small counties,3,2015,Applications/requests for restoration received,648
18 small counties,3,2015,Applications/restorations approved,261
18 small counties,3,2015,Total applications/restorations on hand,961
18 small counties,4,2010,Applications denied,261
18 small counties,4,2010,Applications/requests for restoration received,804
18 small counties,4,2010,Applications/restorations approved,351
18 small counties,4,2010,Total applications/restorations on hand,1375
18 small counties,4,2011,Applications denied,340
18 small counties,4,2011,Applications/requests for restoration received,742
18 small counties,4,2011,Applications/restorations approved,371
18 small counties,4,2011,Total applications/restorations on hand,1478
18 small counties,4,2012,Applications denied,384
18 small counties,4,2012,Applications/requests for restoration received,880
18 small counties,4,2012,Applications/restorations approved,356
18 small counties,4,2012,Total applications/restorations on hand,1300
18 small counties,4,2013,Applications denied,341
18 small counties,4,2013,Applications/requests for restoration received,860
18 small counties,4,2013,Applications/restorations approved,299
18 small counties,4,2013,Total applications/restorations on hand,1161
18 small counties,4,2014,Applications denied,333
18 small counties,4,2014,Applications/requests for restoration received,732
18 small counties,4,2014,Applications/restorations approved,321
18 small counties,4,2014,Total applications/restorations on hand,1096
18 small counties,4,2015,Applications denied,252
18 small counties,4,2015,Applications/requests for restoration received,593
18 small counties,4,2015,Applications/restorations approved,236
18 small counties,4,2015,Total applications/restorations on hand,920
18 small counties,5,2010,Applications denied,242
18 small counties,5,2010,Applications/requests for restoration received,768
18 small counties,5,2010,Applications/restorations approved,359
18 small counties,5,2010,Total applications/restorations on hand,1372
18 small counties,5,2011,Applications denied,304
18 small counties,5,2011,Applications/requests for restoration received,776
18 small counties,5,2011,Applications/restorations approved,330
18 small counties,5,2011,Total applications/restorations on hand,1425
18 small counties,5,2012,Applications denied,391
18 small counties,5,2012,Applications/requests for restoration received,920
18 small counties,5,2012,Applications/restorations approved,356
18 small counties,5,2012,Total applications/restorations on hand,1287
18 small counties,5,2013,Applications denied,346
18 small counties,5,2013,Applications/requests for restoration received,821
18 small counties,5,2013,Applications/restorations approved,286
18 small counties,5,2013,Total applications/restorations on hand,1152
18 small counties,5,2014,Applications denied,285
18 small counties,5,2014,Applications/requests for restoration received,726
18 small counties,5,2014,Applications/restorations approved,263
18 small counties,5,2014,Total applications/restorations on hand,1028
18 small counties,5,2015,Applications denied,231
18 small counties,5,2015,Applications/requests for restoration received,555
18 small counties,5,2015,Applications/restorations approved,215
18 small counties,5,2015,Total applications/restorations on hand,861
18 small counties,6,2010,Applications denied,292
18 small counties,6,2010,Applications/requests for restoration received,912
18 small counties,6,2010,Applications/restorations approved,344
18 small counties,6,2010,Total applications/restorations on hand,1522
18 small counties,6,2011,Applications denied,315
18 small counties,6,2011,Applications/requests for restoration received,863
18 small counties,6,2011,Applications/restorations approved,326
18 small counties,6,2011,Total applications/restorations on hand,1504
18 small counties,6,2012,Applications denied,373
18 small counties,6,2012,Applications/requests for restoration received,950
18 small counties,6,2012,Applications/restorations approved,297
18 small counties,6,2012,Total applications/restorations on hand,1296
18 small counties,6,2013,Applications denied,303
18 small counties,6,2013,Applications/requests for restoration received,757
18 small counties,6,2013,Applications/restorations approved,241
18 small counties,6,2013,Total applications/restorations on hand,1074
18 small counties,6,2014,Applications denied,334
18 small counties,6,2014,Applications/requests for restoration received,713
18 small counties,6,2014,Applications/restorations approved,315
18 small counties,6,2014,Total applications/restorations on hand,1060
18 small counties,6,2015,Applications denied,254
18 small counties,6,2015,Applications/requests for restoration received,653
18 small counties,6,2015,Applications/restorations approved,226
18 small counties,6,2015,Total applications/restorations on hand,936
18 small counties,7,2010,Applications denied,304
18 small counties,7,2010,Applications/requests for restoration received,938
18 small counties,7,2010,Applications/restorations approved,423
18 small counties,7,2010,Total applications/restorations on hand,1684
18 small counties,7,2011,Applications denied,315
18 small counties,7,2011,Applications/requests for restoration received,830
18 small counties,7,2011,Applications/restorations approved,318
18 small counties,7,2011,Total applications/restorations on hand,1506
18 small counties,7,2012,Applications denied,394
18 small counties,7,2012,Applications/requests for restoration received,962
18 small counties,7,2012,Applications/restorations approved,368
18 small counties,7,2012,Total applications/restorations on hand,1391
18 small counties,7,2013,Applications denied,397
18 small counties,7,2013,Applications/requests for restoration received,937
18 small counties,7,2013,Applications/restorations approved,333
18 small counties,7,2013,Total applications/restorations on hand,1310
18 small counties,7,2014,Applications denied,304
18 small counties,7,2014,Applications/requests for restoration received,739
18 small counties,7,2014,Applications/restorations approved,266
18 small counties,7,2014,Total applications/restorations on hand,1037
18 small counties,7,2015,Applications denied,257
18 small counties,7,2015,Applications/requests for restoration received,727
18 small counties,7,2015,Applications/restorations approved,265
18 small counties,7,2015,Total applications/restorations on hand,1037
18 small counties,8,2010,Applications denied,406
18 small counties,8,2010,Applications/requests for restoration received,951
18 small counties,8,2010,Applications/restorations approved,412
18 small counties,8,2010,Total applications/restorations on hand,1742
18 small counties,8,2011,Applications denied,395
18 small counties,8,2011,Applications/requests for restoration received,1058
18 small counties,8,2011,Applications/restorations approved,377
18 small counties,8,2011,Total applications/restorations on hand,1778
18 small counties,8,2012,Applications denied,426
18 small counties,8,2012,Applications/requests for restoration received,1062
18 small counties,8,2012,Applications/restorations approved,366
18 small counties,8,2012,Total applications/restorations on hand,1455
18 small counties,8,2013,Applications denied,409
18 small counties,8,2013,Applications/requests for restoration received,988
18 small counties,8,2013,Applications/restorations approved,326
18 small counties,8,2013,Total applications/restorations on hand,1397
18 small counties,8,2014,Applications denied,250
18 small counties,8,2014,Applications/requests for restoration received,762
18 small counties,8,2014,Applications/restorations approved,284
18 small counties,8,2014,Total applications/restorations on hand,1083
18 small counties,8,2015,Applications denied,278
18 small counties,8,2015,Applications/requests for restoration received,712
18 small counties,8,2015,Applications/restorations approved,255
18 small counties,8,2015,Total applications/restorations on hand,1067
18 small counties,9,2010,Applications denied,344
18 small counties,9,2010,Applications/requests for restoration received,865
18 small counties,9,2010,Applications/restorations approved,443
18 small counties,9,2010,Total applications/restorations on hand,1618
18 small counties,9,2011,Applications denied,371
18 small counties,9,2011,Applications/requests for restoration received,948
18 small counties,9,2011,Applications/restorations approved,386
18 small counties,9,2011,Total applications/restorations on hand,1745
18 small counties,9,2012,Applications denied,359
18 small counties,9,2012,Applications/requests for restoration received,913
18 small counties,9,2012,Applications/restorations approved,327
18 small counties,9,2012,Total applications/restorations on hand,1321
18 small counties,9,2013,Applications denied,419
18 small counties,9,2013,Applications/requests for restoration received,875
18 small counties,9,2013,Applications/restorations approved,306
18 small counties,9,2013,Total applications/restorations on hand,1339
18 small counties,9,2014,Applications denied,292
18 small counties,9,2014,Applications/requests for restoration received,703
18 small counties,9,2014,Applications/restorations approved,272
18 small counties,9,2014,Total applications/restorations on hand,1113
18 small counties,9,2015,Applications denied,276
18 small counties,9,2015,Applications/requests for restoration received,668
18 small counties,9,2015,Applications/restorations approved,275
18 small counties,9,2015,Total applications/restorations on hand,1018
Alameda,1,2010,Applications denied,399
Alameda,1,2010,Applications/requests for restoration received,1187
Alameda,1,2010,Applications/restorations approved,651
Alameda,1,2010,Total applications/restorations on hand,2904
Alameda,1,2011,Applications denied,449
Alameda,1,2011,Applications/requests for restoration received,1338
Alameda,1,2011,Applications/restorations approved,618
Alameda,1,2011,Total applications/restorations on hand,3760
Alameda,1,2012,Applications denied,470
Alameda,1,2012,Applications/requests for restoration received,1466
Alameda,1,2012,Applications/restorations approved,676
Alameda,1,2012,Total applications/restorations on hand,4902
Alameda,1,2013,Applications denied,390
Alameda,1,2013,Applications/requests for restoration received,1254
Alameda,1,2013,Applications/restorations approved,588
Alameda,1,2013,Total applications/restorations on hand,5961
Alameda,1,2014,Applications denied,461
Alameda,1,2014,Applications/requests for restoration received,1390
Alameda,1,2014,Applications/restorations approved,577
Alameda,1,2014,Total applications/restorations on hand,7334
Alameda,1,2015,Applications denied,369
Alameda,1,2015,Applications/requests for restoration received,1168
Alameda,1,2015,Applications/restorations approved,473
Alameda,1,2015,Total applications/restorations on hand,8024
Alameda,10,2010,Applications denied,458
Alameda,10,2010,Applications/requests for restoration received,1256
Alameda,10,2010,Applications/restorations approved,702
Alameda,10,2010,Total applications/restorations on hand,3587
Alameda,10,2011,Applications denied,478
Alameda,10,2011,Applications/requests for restoration received,1257
Alameda,10,2011,Applications/restorations approved,748
Alameda,10,2011,Total applications/restorations on hand,4683
Alameda,10,2012,Applications denied,557
Alameda,10,2012,Applications/requests for restoration received,1256
Alameda,10,2012,Applications/restorations approved,709
Alameda,10,2012,Total applications/restorations on hand,5994
Alameda,10,2013,Applications denied,519
Alameda,10,2013,Applications/requests for restoration received,1227
Alameda,10,2013,Applications/restorations approved,675
Alameda,10,2013,Total applications/restorations on hand,7011
Alameda,10,2014,Applications denied,501
Alameda,10,2014,Applications/requests for restoration received,1116
Alameda,10,2014,Applications/restorations approved,560
Alameda,10,2014,Total applications/restorations on hand,7965
Alameda,11,2010,Applications denied,427
Alameda,11,2010,Applications/requests for restoration received,1209
Alameda,11,2010,Applications/restorations approved,681
Alameda,11,2010,Total applications/restorations on hand,3594
Alameda,11,2011,Applications denied,489
Alameda,11,2011,Applications/requests for restoration received,1222
Alameda,11,2011,Applications/restorations approved,647
Alameda,11,2011,Total applications/restorations on hand,4623
Alameda,11,2012,Applications denied,451
Alameda,11,2012,Applications/requests for restoration received,1151
Alameda,11,2012,Applications/restorations approved,618
Alameda,11,2012,Total applications/restorations on hand,5834
Alameda,11,2013,Applications denied,345
Alameda,11,2013,Applications/requests for restoration received,981
Alameda,11,2013,Applications/restorations approved,504
Alameda,11,2013,Total applications/restorations on hand,6743
Alameda,11,2014,Applications denied,338
Alameda,11,2014,Applications/requests for restoration received,871
Alameda,11,2014,Applications/restorations approved,435
Alameda,11,2014,Total applications/restorations on hand,7670
Alameda,12,2010,Applications denied,475
Alameda,12,2010,Applications/requests for restoration received,1200
Alameda,12,2010,Applications/restorations approved,696
Alameda,12,2010,Total applications/restorations on hand,3644
Alameda,12,2011,Applications denied,490
Alameda,12,2011,Applications/requests for restoration received,1174
Alameda,12,2011,Applications/restorations approved,648
Alameda,12,2011,Total applications/restorations on hand,4619
Alameda,12,2012,Applications denied,388
Alameda,12,2012,Applications/requests for restoration received,1004
Alameda,12,2012,Applications/restorations approved,589
Alameda,12,2012,Total applications/restorations on hand,5729
Alameda,12,2013,Applications denied,423
Alameda,12,2013,Applications/requests for restoration received,1140
Alameda,12,2013,Applications/restorations approved,560
Alameda,12,2013,Total applications/restorations on hand,6986
Alameda,12,2014,Applications denied,381
Alameda,12,2014,Applications/requests for restoration received,1034
Alameda,12,2014,Applications/restorations approved,544
Alameda,12,2014,Total applications/restorations on hand,7867
Alameda,2,2010,Applications denied,365
Alameda,2,2010,Applications/requests for restoration received,1045
Alameda,2,2010,Applications/restorations approved,587
Alameda,2,2010,Total applications/restorations on hand,2847
Alameda,2,2011,Applications denied,424
Alameda,2,2011,Applications/requests for restoration received,1031
Alameda,2,2011,Applications/restorations approved,635
Alameda,2,2011,Total applications/restorations on hand,3681
Alameda,2,2012,Applications denied,457
Alameda,2,2012,Applications/requests for restoration received,1086
Alameda,2,2012,Applications/restorations approved,611
Alameda,2,2012,Total applications/restorations on hand,4796
Alameda,2,2013,Applications denied,392
Alameda,2,2013,Applications/requests for restoration received,933
Alameda,2,2013,Applications/restorations approved,533
Alameda,2,2013,Total applications/restorations on hand,5864
Alameda,2,2014,Applications denied,389
Alameda,2,2014,Applications/requests for restoration received,1003
Alameda,2,2014,Applications/restorations approved,589
Alameda,2,2014,Total applications/restorations on hand,7228
Alameda,2,2015,Applications denied,358
Alameda,2,2015,Applications/requests for restoration received,899
Alameda,2,2015,Applications/restorations approved,422
Alameda,2,2015,Total applications/restorations on hand,8008
Alameda,3,2010,Applications denied,469
Alameda,3,2010,Applications/requests for restoration received,1180
Alameda,3,2010,Applications/restorations approved,702
Alameda,3,2010,Total applications/restorations on hand,3036
Alameda,3,2011,Applications denied,518
Alameda,3,2011,Applications/requests for restoration received,1292
Alameda,3,2011,Applications/restorations approved,711
Alameda,3,2011,Total applications/restorations on hand,3867
Alameda,3,2012,Applications denied,416
Alameda,3,2012,Applications/requests for restoration received,1248
Alameda,3,2012,Applications/restorations approved,632
Alameda,3,2012,Total applications/restorations on hand,4934
Alameda,3,2013,Applications denied,426
Alameda,3,2013,Applications/requests for restoration received,1085
Alameda,3,2013,Applications/restorations approved,601
Alameda,3,2013,Total applications/restorations on hand,6001
Alameda,3,2014,Applications denied,399
Butte,5,2015,Applications denied,129
Alameda,3,2014,Applications/requests for restoration received,1143
Alameda,3,2014,Applications/restorations approved,609
Alameda,3,2014,Total applications/restorations on hand,7335
Alameda,3,2015,Applications denied,463
Alameda,3,2015,Applications/requests for restoration received,1069
Alameda,3,2015,Applications/restorations approved,501
Alameda,3,2015,Total applications/restorations on hand,8237
Alameda,4,2010,Applications denied,448
Alameda,4,2010,Applications/requests for restoration received,1178
Alameda,4,2010,Applications/restorations approved,610
Alameda,4,2010,Total applications/restorations on hand,2980
Alameda,4,2011,Applications denied,426
Alameda,4,2011,Applications/requests for restoration received,1198
Alameda,4,2011,Applications/restorations approved,587
Alameda,4,2011,Total applications/restorations on hand,3795
Alameda,4,2012,Applications denied,423
Alameda,4,2012,Applications/requests for restoration received,1180
Alameda,4,2012,Applications/restorations approved,561
Alameda,4,2012,Total applications/restorations on hand,5021
Alameda,4,2013,Applications denied,360
Alameda,4,2013,Applications/requests for restoration received,1162
Alameda,4,2013,Applications/restorations approved,569
Alameda,4,2013,Total applications/restorations on hand,6091
Alameda,4,2014,Applications denied,431
Alameda,4,2014,Applications/requests for restoration received,1133
Alameda,4,2014,Applications/restorations approved,543
Alameda,4,2014,Total applications/restorations on hand,7376
Alameda,4,2015,Applications denied,399
Alameda,4,2015,Applications/requests for restoration received,997
Alameda,4,2015,Applications/restorations approved,476
Alameda,4,2015,Total applications/restorations on hand,8177
Alameda,5,2010,Applications denied,396
Alameda,5,2010,Applications/requests for restoration received,1169
Alameda,5,2010,Applications/restorations approved,601
Alameda,5,2010,Total applications/restorations on hand,3054
Alameda,5,2011,Applications denied,413
Alameda,5,2011,Applications/requests for restoration received,1184
Alameda,5,2011,Applications/restorations approved,629
Alameda,5,2011,Total applications/restorations on hand,3938
Alameda,5,2012,Applications denied,466
Alameda,5,2012,Applications/requests for restoration received,1410
Alameda,5,2012,Applications/restorations approved,678
Alameda,5,2012,Total applications/restorations on hand,5392
Alameda,5,2013,Applications denied,397
Alameda,5,2013,Applications/requests for restoration received,1124
Alameda,5,2013,Applications/restorations approved,605
Alameda,5,2013,Total applications/restorations on hand,6239
Alameda,5,2014,Applications denied,422
Alameda,5,2014,Applications/requests for restoration received,1138
Alameda,5,2014,Applications/restorations approved,563
Alameda,5,2014,Total applications/restorations on hand,7480
Alameda,5,2015,Applications denied,426
Alameda,5,2015,Applications/requests for restoration received,893
Alameda,5,2015,Applications/restorations approved,418
Alameda,5,2015,Total applications/restorations on hand,8137
Alameda,6,2010,Applications denied,460
Alameda,6,2010,Applications/requests for restoration received,1360
Alameda,6,2010,Applications/restorations approved,679
Alameda,6,2010,Total applications/restorations on hand,3380
Alameda,6,2011,Applications denied,510
Alameda,6,2011,Applications/requests for restoration received,1427
Alameda,6,2011,Applications/restorations approved,704
Alameda,6,2011,Total applications/restorations on hand,4288
Alameda,6,2012,Applications denied,458
Alameda,6,2012,Applications/requests for restoration received,1278
Alameda,6,2012,Applications/restorations approved,615
Alameda,6,2012,Total applications/restorations on hand,5446
Alameda,6,2013,Applications denied,356
Alameda,6,2013,Applications/requests for restoration received,1164
Alameda,6,2013,Applications/restorations approved,515
Alameda,6,2013,Total applications/restorations on hand,6343
Alameda,6,2014,Applications denied,403
Alameda,6,2014,Applications/requests for restoration received,1137
Alameda,6,2014,Applications/restorations approved,580
Alameda,6,2014,Total applications/restorations on hand,7576
Alameda,6,2015,Applications denied,495
Alameda,6,2015,Applications/requests for restoration received,1139
Alameda,6,2015,Applications/restorations approved,443
Alameda,6,2015,Total applications/restorations on hand,8373
Alameda,7,2010,Applications denied,500
Alameda,7,2010,Applications/requests for restoration received,1622
Alameda,7,2010,Applications/restorations approved,910
Alameda,7,2010,Total applications/restorations on hand,3819
Alameda,7,2011,Applications denied,445
Alameda,7,2011,Applications/requests for restoration received,1328
Alameda,7,2011,Applications/restorations approved,607
Alameda,7,2011,Total applications/restorations on hand,4361
Alameda,7,2012,Applications denied,516
Alameda,7,2012,Applications/requests for restoration received,1389
Alameda,7,2012,Applications/restorations approved,663
Alameda,7,2012,Total applications/restorations on hand,5727
Alameda,7,2013,Applications denied,504
Butte,7,2015,Applications denied,147
Alameda,7,2013,Applications/requests for restoration received,1311
Alameda,7,2013,Applications/restorations approved,645
Alameda,7,2013,Total applications/restorations on hand,6745
Alameda,7,2014,Applications denied,450
Alameda,7,2014,Applications/requests for restoration received,1297
Alameda,7,2014,Applications/restorations approved,637
Alameda,7,2014,Total applications/restorations on hand,7822
Alameda,7,2015,Applications denied,472
Alameda,7,2015,Applications/requests for restoration received,1205
Alameda,7,2015,Applications/restorations approved,503
Alameda,7,2015,Total applications/restorations on hand,8571
Alameda,8,2010,Applications denied,512
Alameda,8,2010,Applications/requests for restoration received,1331
Alameda,8,2010,Applications/restorations approved,785
Alameda,8,2010,Total applications/restorations on hand,3674
Alameda,8,2011,Applications denied,550
Alameda,8,2011,Applications/requests for restoration received,1511
Alameda,8,2011,Applications/restorations approved,838
Alameda,8,2011,Total applications/restorations on hand,4782
Alameda,8,2012,Applications denied,534
Alameda,8,2012,Applications/requests for restoration received,1412
Alameda,8,2012,Applications/restorations approved,756
Alameda,8,2012,Total applications/restorations on hand,5908
Alameda,8,2013,Applications denied,495
Alameda,8,2013,Applications/requests for restoration received,1321
Alameda,8,2013,Applications/restorations approved,660
Alameda,8,2013,Total applications/restorations on hand,6849
Alameda,8,2014,Applications denied,400
Alameda,8,2014,Applications/requests for restoration received,1155
Alameda,8,2014,Applications/restorations approved,606
Alameda,8,2014,Total applications/restorations on hand,7824
Alameda,8,2015,Applications denied,492
Alameda,8,2015,Applications/requests for restoration received,1091
Alameda,8,2015,Applications/restorations approved,458
Alameda,8,2015,Total applications/restorations on hand,8594
Alameda,9,2010,Applications denied,501
Alameda,9,2010,Applications/requests for restoration received,1306
Alameda,9,2010,Applications/restorations approved,743
Alameda,9,2010,Total applications/restorations on hand,3638
Alameda,9,2011,Applications denied,481
Alameda,9,2011,Applications/requests for restoration received,1424
Alameda,9,2011,Applications/restorations approved,792
Alameda,9,2011,Total applications/restorations on hand,4765
Alameda,9,2012,Applications denied,422
Alameda,9,2012,Applications/requests for restoration received,1224
Alameda,9,2012,Applications/restorations approved,592
Alameda,9,2012,Total applications/restorations on hand,5787
Alameda,9,2013,Applications denied,441
Alameda,9,2013,Applications/requests for restoration received,1231
Alameda,9,2013,Applications/restorations approved,573
Alameda,9,2013,Total applications/restorations on hand,6871
Alameda,9,2014,Applications denied,474
Alameda,9,2014,Applications/requests for restoration received,1222
Alameda,9,2014,Applications/restorations approved,544
Alameda,9,2014,Total applications/restorations on hand,7956
Alameda,9,2015,Applications denied,399
Alameda,9,2015,Applications/requests for restoration received,1097
Alameda,9,2015,Applications/restorations approved,457
Alameda,9,2015,Total applications/restorations on hand,8662
Butte,1,2010,Applications denied,101
Butte,1,2010,Applications/requests for restoration received,314
Butte,1,2010,Applications/restorations approved,105
Butte,1,2010,Total applications/restorations on hand,524
Butte,1,2011,Applications denied,125
Butte,1,2011,Applications/requests for restoration received,419
Butte,1,2011,Applications/restorations approved,133
Butte,1,2011,Total applications/restorations on hand,741
Butte,1,2012,Applications denied,129
Butte,1,2012,Applications/requests for restoration received,439
Butte,1,2012,Applications/restorations approved,109
Butte,1,2012,Total applications/restorations on hand,715
Butte,1,2013,Applications denied,199
Butte,1,2013,Applications/requests for restoration received,426
Butte,1,2013,Applications/restorations approved,160
Butte,1,2013,Total applications/restorations on hand,661
Butte,1,2014,Applications denied,161
Butte,1,2014,Applications/requests for restoration received,444
Butte,1,2014,Applications/restorations approved,158
Butte,1,2014,Total applications/restorations on hand,666
Butte,1,2015,Applications denied,143
Butte,1,2015,Applications/requests for restoration received,344
Butte,1,2015,Applications/restorations approved,163
Butte,1,2015,Total applications/restorations on hand,559
Butte,10,2010,Applications denied,115
Butte,10,2010,Applications/requests for restoration received,376
Butte,10,2010,Applications/restorations approved,131
Butte,10,2010,Total applications/restorations on hand,750
Butte,10,2011,Applications denied,126
Butte,10,2011,Applications/requests for restoration received,343
Butte,10,2011,Applications/restorations approved,176
Butte,10,2011,Total applications/restorations on hand,687
Butte,10,2012,Applications denied,172
Butte,10,2012,Applications/requests for restoration received,375
Butte,10,2012,Applications/restorations approved,160
Butte,10,2012,Total applications/restorations on hand,623
Butte,10,2013,Applications denied,174
Butte,10,2013,Applications/requests for restoration received,344
Butte,10,2013,Applications/restorations approved,179
Butte,10,2013,Total applications/restorations on hand,664
Butte,10,2014,Applications denied,146
Butte,10,2014,Applications/requests for restoration received,343
Butte,10,2014,Applications/restorations approved,128
Butte,10,2014,Total applications/restorations on hand,551
Butte,11,2010,Applications denied,101
Butte,11,2010,Applications/requests for restoration received,354
Butte,11,2010,Applications/restorations approved,121
Butte,11,2010,Total applications/restorations on hand,742
Butte,11,2011,Applications denied,97
Butte,11,2011,Applications/requests for restoration received,381
Butte,11,2011,Applications/restorations approved,142
Butte,11,2011,Total applications/restorations on hand,650
Butte,11,2012,Applications denied,147
Butte,11,2012,Applications/requests for restoration received,313
Butte,11,2012,Applications/restorations approved,121
Butte,11,2012,Total applications/restorations on hand,544
Butte,11,2013,Applications denied,138
Butte,11,2013,Applications/requests for restoration received,284
Butte,11,2013,Applications/restorations approved,135
Butte,11,2013,Total applications/restorations on hand,528
Butte,11,2014,Applications denied,115
